sleep,200
kaiwa1
sleep,100
enemy1,100,0
sleep,15
enemy1,100,0
sleep,15
enemy1,100,0
sleep,15
enemy1,100,0
sleep,15
enemy1,100,0
sleep,100
sleep,100
enemy1,200,0
sleep,15
enemy1,200,0
sleep,15
enemy1,200,0
sleep,15
enemy1,200,0
sleep,15
enemy1,200,0
sleep,200
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,15
enemy1,100,0
enemy1,200,0
sleep,100
sleep,100
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
midle1,300,0,300
stop
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,100
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,15
enemy3,350,100
sleep,200
kaiwa2
boss1,125,0,1500
stop
kaiwa3
stop
