sleep,100
enemy1,100,0
sleep,25
enemy1,100,0
sleep,25
enemy1,100,0
sleep,25
enemy1,100,0
sleep,25
enemy1,100,0
sleep,100
sleep,100
enemy1,200,0
sleep,25
enemy1,200,0
sleep,25
enemy1,200,0
sleep,25
enemy1,200,0
sleep,25
enemy1,200,0
sleep,200
enemy1,100,0
enemy1,200,0
sleep,25
enemy1,100,0
enemy1,200,0
sleep,25
enemy1,100,0
enemy1,200,0
sleep,25
enemy1,100,0
enemy1,200,0
sleep,25
enemy1,100,0
enemy1,200,0
sleep,100
sleep,100
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,50,0
enemy1,100,0
enemy1,300,0
enemy1,250,0
sleep,50
enemy1,250,0
enemy1,290,0
sleep,50
enemy1,250,0
enemy1,290,0
sleep,300
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
sleep,200
midle1,300,0,150
stop
sleep,200
enemy2,150,0
enemy2,50,0
enemy2,250,0
